Identifier,Mean_GFP_Intensity,Total_GFP_Intensity
A1_03_001,1380.3135895092664,561875971
A1_03_002,1366.2790045703503,557530642
A1_03_003,1374.0927137732053,561501002
A1_03_004,1342.1060709655758,547655777
A1_03_005,1304.9803940799734,532217984
A1_03_006,1289.6413635539081,526088560
A1_03_007,1277.836077617028,521822252
A1_03_008,1270.5569104397607,519102543
A1_03_009,1258.878990514341,514133733
A1_03_010,1266.4348525403634,518092166
A1_03_011,1247.392420851202,511060417
A1_03_012,1243.871375740729,509233478
A1_03_013,1229.925185732073,504764986
A1_03_014,1269.066393737891,521398466
A1_03_015,1238.5526866255439,509804387
A1_03_016,1254.611582801721,517039234
A1_03_017,1243.7423772434483,513225317
A1_03_018,1270.3693263339537,524164547
A1_03_019,1273.4602643397798,526265095
A1_03_020,1288.3305840527203,532336909
A1_03_021,1292.883811676301,535432316
A1_03_022,1300.1621443952756,537964190
A1_03_023,1313.77844668109,544704368
A1_03_024,1356.3140042865832,561942593
A1_03_025,1334.30665738081,553694565
A1_03_026,1374.9473956927468,570504173
A1_03_027,1394.523786459237,578705059
A1_03_028,1441.2966726703041,599376193
A1_03_029,1465.461472107637,608201682
A1_03_030,1489.9417976170128,618863715
A1_03_031,1495.938931646874,621393585
A1_03_032,1518.437776156456,630605690
A1_03_033,1548.2511152036013,643135772
A1_03_034,1566.5066717700954,650737837
A1_03_035,1589.318532029838,661334513
A1_03_036,1605.55054553498,667783794
A1_03_037,1644.8660515347085,685080131
A1_03_038,1682.9939715121577,701842146
A1_03_039,1695.9676743985265,707177817
A1_03_040,1726.2132430488973,720176165
A1_03_041,1751.8349075266342,730583478
A1_03_042,1744.5364606422518,728017744
A1_03_043,1782.8835115228133,744079302
A1_03_044,1738.896434752841,726383991
A1_03_045,1717.8034306819025,718129442
A1_03_046,1722.412266295656,720514332
A1_03_047,1688.8409727758337,707566947
A1_03_048,1700.910970278886,712844984
A1_03_049,1704.9922147061911,714821396
A1_03_050,1687.8832286905658,707567401
A1_03_051,1696.0559226472633,710235290
