Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
A1_03_001,1382.1435996728644,561078430,2095.933792395799,339078073,909.2077905057563,222000357
A1_03_002,1368.7259250150635,556544492,2075.7577596308997,338329833,895.702636029291,218214659
A1_03_003,1376.941299347279,560293938,2092.4582395950506,342275949,895.9545196764967,218017989
A1_03_004,1344.3566706671652,546636932,2026.8322203672788,332655865,882.4325415481051,213981067
A1_03_005,1306.5236942123972,531449417,1958.881365097303,322410325,863.1665765122204,209039092
A1_03_006,1290.7286442651052,525551145,1927.1300084992715,317436855,858.3660818134574,208114290
A1_03_007,1279.6516054071183,520937211,1909.5902193773218,315628529,849.0601264644944,205308682
A1_03_008,1271.6408391471205,518568776,1903.6364219533893,314558786,841.0910147843367,204009990
A1_03_009,1259.8668648559817,513636382,1879.2181340738282,311301880,835.9686245021402,202334502
A1_03_010,1267.7158204728037,517432157,1877.0637129300833,311346681,850.5665725653344,206085476
A1_03_011,1248.421373866604,510539424,1859.4566776858505,307682437,833.1600959425659,202856987
A1_03_012,1244.979220556745,508729634,1856.2854243308386,307295058,828.6692391867765,201434576
A1_03_013,1231.3921354050892,504106081,1847.075191089889,307137204,810.2514109652154,196968877
A1_03_014,1270.5119430190255,520682475,1893.1467596070065,315048018,844.8208220011011,205634457
A1_03_015,1240.5279380141312,508812458,1882.5474396228462,312265674,804.5831245599385,196546784
A1_03_016,1256.4526273507395,516119328,1891.0723624603236,315168011,823.1863678445317,200951317
A1_03_017,1245.2711295749668,512572276,1887.1617287940817,315299433,806.7132154789216,197272843
A1_03_018,1271.8387951854065,523465955,1922.7997916928548,321224856,827.0909206162252,202241099
A1_03_019,1274.0914363376044,525918189,1928.1644929957283,323183507,826.9248389873026,202734682
A1_03_020,1289.2606548793553,531863855,1961.1801255592525,328323126,830.3616102936077,203540729
A1_03_021,1294.2959050795603,534733176,1980.5942388800813,331066230,827.9447052940961,203666946
A1_03_022,1301.1253927677478,537487093,1986.7353551047238,332470228,834.253099707425,205016865
A1_03_023,1314.7371891043063,544202591,2017.0267910181774,339546290,833.3420241464258,204656301
A1_03_024,1357.5350867010086,561327183,2088.6938156373303,350436871,858.2825096047405,210890312
A1_03_025,1335.9960640385043,552936707,2097.3324430018147,350210474,821.0963802719352,202726233
A1_03_026,1375.8467505448543,570055960,2157.3144726735773,362323123,843.1400154233298,207732837
A1_03_027,1395.1235700865607,578450320,2205.9219500580375,370583858,842.8339928961838,207866462
A1_03_028,1442.7312213247485,598721915,2298.7217557024596,385978370,861.0240527436235,212743545
